#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
1,2,1,-2,-4,-3,2,-2,-3,-2,2.2,3.3,2.9,1
7,13,7,4,1,3,13,7,3,4,1.3,4.8,8.0,3
-3,-6,-3,-2,-2,-1,-6,-5,-4,-2,3.0,3.4,2.1,2
5,9,5,3,0,0,9,6,3,3,1.55,3.8,5.2,1
4,3,4,3,3,0,3,0,0,-2,1.65,3.4,5.0,3
-2,-2,-2,0,0,-1,-2,1,0,-1,3.0,3.3,2.15,2
1,0,1,-1,-1,-2,0,-1,0,-3,1.75,3.4,4.2,3
0,2,-1,-1,1,-1,-1,-2,0,-1,1.5,3.9,5.6,1
-11,-17,-8,-5,-5,-2,-11,-6,-4,-1,5.8,4.0,1.45,2
0,3,0,0,2,-1,3,3,4,-1,2.2,3.3,2.9,2
-8,-13,-5,-3,-3,-3,-7,-5,-5,-2,3.4,3.4,1.95,1
6,7,6,3,4,1,7,3,6,2,1.45,4.1,6.0,1
7,6,7,4,1,1,6,2,-1,1,1.5,4.1,5.3,2
-2,0,-2,1,1,0,-2,2,2,1,1.65,3.6,4.6,1
-7,-7,-4,-2,-1,0,-3,-2,-1,0,3.8,3.4,1.85,3
-5,-7,-3,0,0,2,-4,-1,-1,1,2.3,3.25,2.8,2
-3,-3,-2,-4,-2,-3,-1,-3,-2,-3,2.3,3.25,2.8,2
-1,-1,-1,-2,-2,-1,-2,-3,-3,-1,2.0,3.35,3.3,1
-4,-4,-4,-2,-2,0,-3,0,-1,0,3.7,3.3,1.9,1
-5,-7,-4,-3,0,0,-5,-3,0,0,3.25,3.3,2.05,3
4,3,0,0,2,1,1,1,3,2,1.5,3.9,5.6,1
3,7,0,-1,-3,-3,2,1,-3,-2,1.75,3.4,4.2,1
5,7,3,3,3,3,2,2,3,3,1.6,3.65,4.95,1
-2,-3,-4,-4,-1,-3,-3,-5,-1,-2,2.8,3.25,2.3,2
